RS_systems,platform_type,sensor_type,spatial_resolution
Aerial hyperspectral,Aerial,Hyperspectral,0.3
Aerial laser scanning,Aerial,LiDAR,0.3
Aerial multispectral,Aerial,Multispectral,0.3
Aerial RGB,Aerial,RGB,0.3
ASTER,Satellite,Multispectral,
CBERS-4A,Satellite,Multispectral,2
CORONA,Satellite,RGB,
FORMOSAT-2,Satellite,Multispectral,2
GEDI,Satellite,LiDAR,
Ground-based multispectral,Ground-based,Multispectral,
Ground-based RGB,Ground-based,RGB,
Harmonized Landsat Sentinel-2,Satellite,Multispectral,30
ICESat,Satellite,LiDAR,
KOMPSAT-3,Satellite,Multispectral,2.8
Landsat-9,Satellite,Multispectral,30
Landsat-4,Satellite,Multispectral,30
Landsat-5,Satellite,Multispectral,30
Landsat-7,Satellite,Multispectral,30
Landsat-8,Satellite,Multispectral,30
MODIS,Satellite,Multispectral,250
PALSAR-2,Satellite,RADAR,25
Point dendrometer,Ground-based,Other,
PRISM,Satellite,Panchromatic,
PRISMA,Satellite,Hyperspectral,30
PROBA-V,Satellite,Multispectral,
Rapideye,Satellite,Multispectral,5
Sentinel-5P,Satellite,Multispectral,
Sentinel-1,Satellite,RADAR,
Sentinel-2,Satellite,Multispectral,10
SkySat,Satellite,Multispectral,0.8
SMAP,Satellite,RADAR,
SPOT-4,Satellite,Multispectral,
SPOT-6,Satellite,Multispectral,
SPOT-7,Satellite,Multispectral,1
SRTM,Satellite,RADAR,
TanDEM-X,Satellite,RADAR,
Terrestrial laser scanning,Ground-based,LiDAR,
UAV laser scanning,UAV,LiDAR,
UAV multispectral,UAV,Multispectral,
UAV RGB,UAV,RGB,
Worldview-1,Satellite,Multispectral,
WorldView-2,Satellite,Multispectral,1.84
WorldView-3,Satellite,Multispectral,0.31
